,index,0
0,en,0.5453580393737554
1,zh-cn,0.2586870891915729
2,ko,0.14783715723561597
3,fr,0.006980001835792364
4,zh-tw,0.005351733826070646
5,ja,0.00527989847270057
6,so,0.003903054199774118
7,ro,0.0037593834930339663
8,de,0.0027856153695729386
9,es,0.0024583654264425936
10,Nan,0.0020592801299421726
11,ru,0.0018796917465169832
12,af,0.0017160667749518104
13,th,0.0014327162144365114
14,pl,0.0012810638017663515
15,vi,0.001121429683166183
16,it,0.000854042534510901
17,cs,0.0008420699756158884
18,nl,0.0007662437692808084
19,id,0.0007343169455607747
20,ca,0.0007343169455607747
21,no,0.0007183535337007579
22,tl,0.0004948657676605221
23,pt,0.0004709206498704968
24,cy,0.00041504870836043785
25,da,0.0003312407960953495
26,sv,0.00028734141348030315
27,sk,0.0002753688545852905
28,fi,0.0001955517952852063
29,et,0.0001955517952852063
30,sw,0.00016761582453017683
31,hr,0.00014766155970515578
32,hu,0.00012770729488013473
33,tr,8.380791226508841e-05
34,sl,7.183535337007579e-05
35,lv,5.9862794475063154e-05
36,lt,5.9862794475063154e-05
37,sq,4.789023558005053e-05
38,bg,1.1972558895012632e-05
39,el,7.98170593000842e-06
40,uk,3.99085296500421e-06
41,ar,3.99085296500421e-06
