,index,0
0,en,0.5453181308441053
1,zh-cn,0.2591779641062684
2,ko,0.14734229146795544
3,fr,0.0069560567180023385
4,zh-tw,0.005323797855315617
5,ja,0.005303843590490596
6,so,0.0038791090819840926
7,ro,0.003771356051928979
8,de,0.0028015787814329556
9,es,0.002462356279407598
10,Nan,0.0020592801299421726
11,ru,0.0018796917465169832
12,af,0.0017040942160567979
13,th,0.0014327162144365114
14,pl,0.001269091242871339
15,vi,0.0011373930950262
16,it,0.0008899602111959389
17,cs,0.0008181248578258631
18,nl,0.000778216328175821
19,no,0.0007582620633508
20,id,0.0007263352396307662
21,ca,0.0007183535337007579
22,tl,0.0005028474735905305
23,pt,0.0004709206498704968
24,cy,0.0004230304142904463
25,da,0.00033523164906035366
26,sv,0.0002833505605152989
27,sk,0.0002753688545852905
28,fi,0.00019954264825021052
29,et,0.00019954264825021052
30,sw,0.00016761582453017683
31,hr,0.00015564326563516422
32,hu,0.00013169814784513893
33,tr,9.977132412510526e-05
34,sl,7.582620633507999e-05
35,lt,5.587194151005894e-05
36,sq,4.3899382615046316e-05
37,lv,4.3899382615046316e-05
38,bg,1.1972558895012632e-05
39,el,7.98170593000842e-06
40,uk,3.99085296500421e-06
41,ml,3.99085296500421e-06
