,index,0
0,es,0.5196089063418587
1,en,0.31779784361961405
2,pt,0.10890634185877934
3,fr,0.022223046672108036
4,de,0.00871284981250107
5,ro,0.004623261282755235
6,it,0.004494837358234256
7,Nan,0.00239153886107956
8,ko,0.0015924566640601366
9,ca,0.0015182561743369045
10,nl,0.0012842392452097875
11,sk,0.0006934891924132853
12,so,0.0006535350825623141
13,ru,0.0006249964326687633
14,zh-cn,0.0004965725081477845
15,af,0.00047659545322229895
16,sv,0.0003681485836268058
17,tl,0.00035102539369067526
18,da,0.0003281944737758346
19,no,0.00030821741885034905
20,id,0.00030821741885034905
21,cy,0.00027397103897808803
22,fi,0.0002654094440100228
23,ja,0.0002654094440100228
24,lt,0.00023401692912711686
25,pl,0.00020262441424421094
26,sl,0.00019406281927614568
27,tr,0.0001398393844783991
28,cs,0.00011986232955291351
29,hu,0.00011130073458484825
30,vi,0.00010273913961678301
31,hr,9.417754464871776e-05
32,sw,9.132367965936268e-05
33,lv,3.4246379872261004e-05
34,he,3.4246379872261004e-05
35,et,3.139251488290592e-05
36,el,1.9977054925485586e-05
37,uk,8.561594968065251e-06
38,zh-tw,5.707729978710167e-06
39,bg,5.707729978710167e-06
40,sq,2.8538649893550837e-06
