,index,0
0,zh-cn,0.727461374872452
1,ko,0.15645538656048263
2,en,0.09655508869091996
3,ro,0.0025080136188575138
4,fr,0.002291568607915016
5,zh-tw,0.002188499555085255
6,Nan,0.0018311935052754177
7,es,0.0014773230905599055
8,pl,0.00114063085131602
9,de,0.0009928985422600295
10,so,0.0009482352860337998
11,vi,0.0008348593279210629
12,ru,0.0008314236928267375
13,no,0.0007970673418834839
14,ja,0.0006390281275445172
15,af,0.00038822676565876586
16,it,0.0003504347796211869
17,pt,0.0003160784286779333
18,ca,0.00020270247056519632
19,cs,0.00020270247056519632
20,nl,0.00017521738981059344
21,sk,0.00017178175471626808
22,da,0.00015803921433896664
23,tl,0.00014429667396166518
24,cy,0.0001339897686786891
25,sw,0.00013055413358436374
26,et,0.00012711849849003838
27,id,9.963341773543549e-05
28,th,7.558397207515796e-05
29,hr,5.8405796603531146e-05
30,sv,4.809889132055506e-05
31,lt,4.46632562262297e-05
32,fi,3.779198603757898e-05
33,tr,3.435635094325362e-05
34,hu,3.435635094325362e-05
35,sl,2.7485080754602893e-05
36,lv,1.717817547162681e-05
37,sq,1.3742540377301447e-05
38,el,1.3742540377301447e-05
39,ar,1.0306905282976084e-05
40,bg,1.0306905282976084e-05
41,uk,6.871270188650723e-06
42,he,6.871270188650723e-06
43,fa,3.4356350943253617e-06
44,gu,3.4356350943253617e-06
