word,cat_lev1,cat_lev2,cat_lev3,ndf
information,business,professional_conduct_host,advice,0.008903969486
recommendations,business,professional_conduct_host,advice,0.008374544273
tips,business,professional_conduct_host,advice,0.008398609056
advice,business,professional_conduct_host,advice,0.007568374063
suggestions,business,professional_conduct_host,advice,0.007580406454
directions,business,professional_conduct_host,advice,0.006822365809
instructions,business,professional_conduct_host,advice,0.006461394073
useful,business,professional_conduct_host,advice,0.006268875814
details,business,professional_conduct_host,advice,0.005595061907
info,business,professional_conduct_host,advice,0.003778170836
explained,business,professional_conduct_host,advice,0.003705976489
communication,business,professional_conduct_host,communication,0.009938755129
questions,business,professional_conduct_host,communication,0.009686074914
quick,business,professional_conduct_host,communication,0.009481524263
quickly,business,professional_conduct_host,communication,0.007977475364
communicative,business,professional_conduct_host,communication,0.006726106679
communicate,business,professional_conduct_host,communication,0.006172616684
respond,business,professional_conduct_host,communication,0.005968066034
responded,business,professional_conduct_host,communication,0.006196681467
answer,business,professional_conduct_host,communication,0.005366446474
answered,business,professional_conduct_host,communication,0.005366446474
prompt,business,professional_conduct_host,communication,0.004608405828
communicated,business,professional_conduct_host,communication,0.004066948225
text,business,professional_conduct_host,communication,0.003645814533
request,business,professional_conduct_host,communication,0.003778170836
question,business,professional_conduct_host,communication,0.003705976489
promptly,business,professional_conduct_host,communication,0.003705976489
communicating,business,professional_conduct_host,communication,0.003332972362
requests,business,professional_conduct_host,communication,0.003260778014
communications,business,professional_conduct_host,communication,0.002659158455
answering,business,professional_conduct_host,communication,0.002538834543
emails,business,professional_conduct_host,communication,0.002238024763
response,business,professional_conduct_host,communication,0.002238024763
responding,business,professional_conduct_host,communication,0.002250057154
communicator,business,professional_conduct_host,communication,0.002081603677
responses,business,professional_conduct_host,communication,0.00200940933
concerns,business,professional_conduct_host,communication,0.001889085418
responds,business,professional_conduct_host,communication,0.00200940933
replied,business,professional_conduct_host,communication,0.00161234042
reply,business,professional_conduct_host,communication,0.001732664332
queries,business,professional_conduct_host,communication,0.001419822161
texts,business,professional_conduct_host,communication,0.001131044773
inquiries,business,professional_conduct_host,communication,0.001179174337
answers,business,professional_conduct_host,communication,0.001119012381
check,business,professional_conduct_host,logistic,0.009770301652
provided,business,professional_conduct_host,logistic,0.009806398826
arrival,business,professional_conduct_host,logistic,0.009734204478
arrived,business,professional_conduct_host,logistic,0.009505589046
late,business,professional_conduct_host,logistic,0.008855839921
offered,business,professional_conduct_host,logistic,0.007002851677
keys,business,professional_conduct_host,logistic,0.00623277864
hours,business,professional_conduct_host,logistic,0.006124487119
key,business,professional_conduct_host,logistic,0.005643191471
flight,business,professional_conduct_host,logistic,0.005390511256
prepared,business,professional_conduct_host,logistic,0.005534899951
reception,business,professional_conduct_host,logistic,0.004849053652
checking,business,professional_conduct_host,logistic,0.00522205778
checked,business,professional_conduct_host,logistic,0.004921248
departure,business,professional_conduct_host,logistic,0.004981409956
waiting,business,professional_conduct_host,logistic,0.004439952352
arriving,business,professional_conduct_host,logistic,0.003236713232
timely,business,professional_conduct_host,logistic,0.002719320411
punctual,business,professional_conduct_host,logistic,0.002454607804
checkout,business,professional_conduct_host,logistic,0.002274121936
checkin,business,professional_conduct_host,logistic,0.001852988244
punctuality,business,professional_conduct_host,logistic,0.0003128421711
helpful,business,professional_conduct_host,personality_host2,0.009998917085
welcoming,business,professional_conduct_host,personality_host2,0.009938755129
available,business,professional_conduct_host,personality_host2,0.009914690346
accommodating,business,professional_conduct_host,personality_host2,0.009830463608
welcome,business,professional_conduct_host,personality_host2,0.009818431217
responsive,business,professional_conduct_host,personality_host2,0.009637945349
help,business,professional_conduct_host,personality_host2,0.008735516009
welcomed,business,professional_conduct_host,personality_host2,0.00854299775
needs,business,professional_conduct_host,personality_host2,0.008567062532
helped,business,professional_conduct_host,personality_host2,0.008182026014
flexible,business,professional_conduct_host,personality_host2,0.007772924713
hospitality,business,professional_conduct_host,personality_host2,0.007399920586
attentive,business,professional_conduct_host,personality_host2,0.007195369936
incredibly,business,professional_conduct_host,personality_host2,0.007159272762
greeted,business,professional_conduct_host,personality_host2,0.006377167334
ready,business,professional_conduct_host,personality_host2,0.006208713858
hospitable,business,professional_conduct_host,personality_host2,0.006052292772
organized,business,professional_conduct_host,personality_host2,0.005282219736
generous,business,professional_conduct_host,personality_host2,0.005246122562
availability,business,professional_conduct_host,personality_host2,0.00371800888
warmly,business,professional_conduct_host,personality_host2,0.003742073662
considerate,business,professional_conduct_host,personality_host2,0.003645814533
caring,business,professional_conduct_host,personality_host2,0.003597684968
precise,business,professional_conduct_host,personality_host2,0.002875741496
helping,business,professional_conduct_host,personality_host2,0.00302013019
uncomplicated,business,professional_conduct_host,personality_host2,0.002454607804
reliable,business,professional_conduct_host,personality_host2,0.00261102889
impeccable,business,professional_conduct_host,personality_host2,0.002322251501
respectful,business,professional_conduct_host,personality_host2,0.002153798024
accomodating,business,professional_conduct_host,personality_host2,0.00221395998
arrangements,business,professional_conduct_host,personality_host2,0.002045506504
organised,business,professional_conduct_host,personality_host2,0.001540146073
generosity,business,professional_conduct_host,personality_host2,0.0006978786894
responsible,business,professional_conduct_host,personality_host2,0.0007821054278
discrete,business,professional_conduct_host,personality_host2,0.0006858462982
location,business,location,location,0.009998917085
from,business,location,location,0.009998917085
close,business,location,location,0.009998917085
quiet,business,location,location,0.009998917085
area,business,location,location,0.009998917085
walk,business,location,location,0.009998917085
located,business,location,location,0.009998917085
restaurants,business,location,location,0.009998917085
city,business,location,location,0.009998917085
neighborhood,business,location,location,0.009998917085
get,business,location,location,0.009998917085
away,business,location,location,0.009986884694
walking,business,location,location,0.009986884694
around,business,location,location,0.009986884694
minutes,business,location,location,0.009890625564
beach,business,location,location,0.009457459481
few,business,location,location,0.009926722738
convenient,business,location,location,0.00995078752
distance,business,location,location,0.009962819911
street,business,location,location,0.009890625564
town,business,location,location,0.009902657955
many,business,location,location,0.009902657955
shops,business,location,location,0.009866560782
central,business,location,location,0.009806398826
station,business,location,location,0.009601848175
metro,business,location,location,0.009433394699
downtown,business,location,location,0.00944542709
places,business,location,location,0.009842495999
lots,business,location,location,0.009734204478
centre,business,location,location,0.009216811657
within,business,location,location,0.009734204478
parking,business,location,location,0.009493556655
near,business,location,location,0.009794366434
access,business,location,location,0.009589815784
bus,business,location,location,0.009264941222
minute,business,location,location,0.009505589046
bars,business,location,location,0.009409329916
nearby,business,location,location,0.009517621437
park,business,location,location,0.009168682092
safe,business,location,location,0.009228844048
local,business,location,location,0.009409329916
center,business,location,location,0.009180714483
amenities,business,location,location,0.009264941222
car,business,location,location,0.00904835818
building,business,location,location,0.008831775139
far,business,location,location,0.009289006004
outside,business,location,location,0.00904835818
drive,business,location,location,0.00884380753
easily,business,location,location,0.008903969486
train,business,location,location,0.008555030141
cool,business,location,location,0.008374544273
