,Unnamed: 0,listing_id,id,date,reviewer_id,reviewer_name,comments,langs,words,wordcount
0,1,50474,10420113,2014-02-18,8184070,Billy,"I enjoyed my stay in Santiago, Marcela was extremely helpful!! Thanks for everything!!",en,"['i', 'enjoyed', 'my', 'stay', 'in', 'santiago,', 'marcela', 'was', 'extremely', 'helpful!!', 'thanks', 'for', 'everything!!']",13
1,6,50474,52984230,2015-11-03,19365321,Seamus,Great apartment near the metro and a good shopping centre. We thoroughly enjoyed our experience and would have no hesitation in recommending Marcela's place to anyone wishing to stay in Las Condes. ,en,"['great', 'apartment', 'near', 'the', 'metro', 'and', 'a', 'good', 'shopping', 'centre.', 'we', 'thoroughly', 'enjoyed', 'our', 'experience', 'and', 'would', 'have', 'no', 'hesitation', 'in', 'recommending', ""marcela's"", 'place', 'to', 'anyone', 'wishing', 'to', 'stay', 'in', 'las', 'condes.']",32
2,8,50474,55534788,2015-12-01,3364197,Milli,Great place! Really enjoyed the location of where Marcela's place is. Santiago was such an amazing city and Marcela was a wonderful host. She was very helpful in giving suggestions of things to do and eat. I would recommend this place to anyone wanting to visit Chile.  ,en,"['great', 'place!', 'really', 'enjoyed', 'the', 'location', 'of', 'where', ""marcela's"", 'place', 'is.', 'santiago', 'was', 'such', 'an', 'amazing', 'city', 'and', 'marcela', 'was', 'a', 'wonderful', 'host.', 'she', 'was', 'very', 'helpful', 'in', 'giving', 'suggestions', 'of', 'things', 'to', 'do', 'and', 'eat.', 'i', 'would', 'recommend', 'this', 'place', 'to', 'anyone', 'wanting', 'to', 'visit', 'chile.']",47
3,10,50474,56850064,2015-12-19,47757691,Andrei,"Everything was like in the pictures/description. It was in a very quiet and lovely neighborhood, a few walks from the metro.",en,"['everything', 'was', 'like', 'in', 'the', 'pictures/description.', 'it', 'was', 'in', 'a', 'very', 'quiet', 'and', 'lovely', 'neighborhood,', 'a', 'few', 'walks', 'from', 'the', 'metro.']",21
4,12,50474,59382872,2016-01-10,50306842,Adriana,"Marcela was very helpful and always comunicated with us prior, during and post our stay. The apartment is exactly as the pictures, if not even better because of the beautiful view and AMAZING location. Honestly the location could not be better, close to the park, mall, restaurants, conveniece stores, taxis and Uber riding by. I highly recommend this listing!",en,"['marcela', 'was', 'very', 'helpful', 'and', 'always', 'comunicated', 'with', 'us', 'prior,', 'during', 'and', 'post', 'our', 'stay.', 'the', 'apartment', 'is', 'exactly', 'as', 'the', 'pictures,', 'if', 'not', 'even', 'better', 'because', 'of', 'the', 'beautiful', 'view', 'and', 'amazing', 'location.', 'honestly', 'the', 'location', 'could', 'not', 'be', 'better,', 'close', 'to', 'the', 'park,', 'mall,', 'restaurants,', 'conveniece', 'stores,', 'taxis', 'and', 'uber', 'riding', 'by.', 'i', 'highly', 'recommend', 'this', 'listing!']",59
5,16,50474,63720731,2016-02-26,24468379,Nicky,"Thank you Marcela, we enjoyed our stay in your cozy, comfortable apartment. We had easy access to communication with Marcela. This is four blocks either way from two metros, with public transport readily available. A large shopping centre at one metro as well as restaurants and cafesand a lovely comfortable bed.",en,"['thank', 'you', 'marcela,', 'we', 'enjoyed', 'our', 'stay', 'in', 'your', 'cozy,', 'comfortable', 'apartment.', 'we', 'had', 'easy', 'access', 'to', 'communication', 'with', 'marcela.', 'this', 'is', 'four', 'blocks', 'either', 'way', 'from', 'two', 'metros,', 'with', 'public', 'transport', 'readily', 'available.', 'a', 'large', 'shopping', 'centre', 'at', 'one', 'metro', 'as', 'well', 'as', 'restaurants', 'and', 'cafesand', 'a', 'lovely', 'comfortable', 'bed.']",51
6,20,50474,66619718,2016-03-23,13679213,Ivan,Marcela was very spot on describing her place and easy to contact for anything. It's a great location for any type of trip. Nice apartment and great view of Santiago. I will definitely come back to this place.,en,"['marcela', 'was', 'very', 'spot', 'on', 'describing', 'her', 'place', 'and', 'easy', 'to', 'contact', 'for', 'anything.', ""it's"", 'a', 'great', 'location', 'for', 'any', 'type', 'of', 'trip.', 'nice', 'apartment', 'and', 'great', 'view', 'of', 'santiago.', 'i', 'will', 'definitely', 'come', 'back', 'to', 'this', 'place.']",38
7,30,50474,85100675,2016-07-10,49406519,Alejandro,"The place is exactly as the photos, great area to stay and no incidents in the place.  Thanks Marcela for everything...",en,"['the', 'place', 'is', 'exactly', 'as', 'the', 'photos,', 'great', 'area', 'to', 'stay', 'and', 'no', 'incidents', 'in', 'the', 'place.', 'thanks', 'marcela', 'for', 'everything...']",21
8,35,50474,109266019,2016-10-20,94243474,Ruth,Lovely apartment in a very nice area of Santiago. The building was very safe and similar to description given. Overall we had a great stay,en,"['lovely', 'apartment', 'in', 'a', 'very', 'nice', 'area', 'of', 'santiago.', 'the', 'building', 'was', 'very', 'safe', 'and', 'similar', 'to', 'description', 'given.', 'overall', 'we', 'had', 'a', 'great', 'stay']",25
9,36,50474,111754633,2016-11-01,31052537,Yacov,"Nice , Quite , Clean & Recommended . ",en,"['nice', ',', 'quite', ',', 'clean', '&', 'recommended', '.']",8
10,48,50474,136884019,2017-03-12,55033130,Karina,"Everything okay, but I would recommend to improve some details in the amenities. Marcela had great will and answered quickly whenever I wrote to her and the apartment was well located",en,"['everything', 'okay,', 'but', 'i', 'would', 'recommend', 'to', 'improve', 'some', 'details', 'in', 'the', 'amenities.', 'marcela', 'had', 'great', 'will', 'and', 'answered', 'quickly', 'whenever', 'i', 'wrote', 'to', 'her', 'and', 'the', 'apartment', 'was', 'well', 'located']",31
11,64,50474,198206364,2017-09-28,10738098,Adriana,"very well located, quiet, comfortable for a short stay",en,"['very', 'well', 'located,', 'quiet,', 'comfortable', 'for', 'a', 'short', 'stay']",9
12,66,50474,208007316,2017-10-30,143008455,Antonio,"Very great apartment, very clean and comfortable !!!
Marcela has been a precise, friendly and helpful host for every need. I recommend it to anyone who wants to stay in Santiago, near the metro, shopping centre and supermarket. I will return there on my next trip to Santiago",en,"['very', 'great', 'apartment,', 'very', 'clean', 'and', 'comfortable', '!!!', 'marcela', 'has', 'been', 'a', 'precise,', 'friendly', 'and', 'helpful', 'host', 'for', 'every', 'need.', 'i', 'recommend', 'it', 'to', 'anyone', 'who', 'wants', 'to', 'stay', 'in', 'santiago,', 'near', 'the', 'metro,', 'shopping', 'centre', 'and', 'supermarket.', 'i', 'will', 'return', 'there', 'on', 'my', 'next', 'trip', 'to', 'santiago']",48
13,69,50474,220243251,2017-12-21,70705708,Narendra,"It is beautiful apartment,very good location",en,"['it', 'is', 'beautiful', 'apartment,very', 'good', 'location']",6
14,71,50474,226780363,2018-01-12,109884707,Ali,"Marcela is very responsive (using (Hidden by Airbnb) ) so, if you have any problems whatsoever, ping her immediately and she'll respond favorably. I waited too long to ping her on cleanliness issues, so even though she offered to have someone clean it the very next day, it was too late for me.",en,"['marcela', 'is', 'very', 'responsive', '(using', '(hidden', 'by', 'airbnb)', ')', 'so,', 'if', 'you', 'have', 'any', 'problems', 'whatsoever,', 'ping', 'her', 'immediately', 'and', ""she'll"", 'respond', 'favorably.', 'i', 'waited', 'too', 'long', 'to', 'ping', 'her', 'on', 'cleanliness', 'issues,', 'so', 'even', 'though', 'she', 'offered', 'to', 'have', 'someone', 'clean', 'it', 'the', 'very', 'next', 'day,', 'it', 'was', 'too', 'late', 'for', 'me.']",53
15,76,50474,254379407,2018-04-16,16480821,Ana,"A wonderful space in Las Condes, Santiago. The price was great. I was able to walk everywhere and the apartment was clean.",en,"['a', 'wonderful', 'space', 'in', 'las', 'condes,', 'santiago.', 'the', 'price', 'was', 'great.', 'i', 'was', 'able', 'to', 'walk', 'everywhere', 'and', 'the', 'apartment', 'was', 'clean.']",22
16,82,50474,298729403,2018-07-29,19385248,Jani,"My plane landed 1:30AM and I was a bit desperate to get a place the day before.
I found Marcelas place which was possible to book via instant-booking.
I was a bit worried how things would work, but I got hold of Marcela and everything worked out.
The place is a typical Airbnb place with all necessary and not much extra. It was nice, neat and clean and had AC/heating although it was a bit noisy. The building is in a nice spot with everything really close like convenience store, pharmacy, Subway, pubs/restaurants and between 2 metro stations. Can recommend this place if you don't require lot of space and don't plan to cook a lot yourself and you are mostly out and about.",en,"['my', 'plane', 'landed', '1:30am', 'and', 'i', 'was', 'a', 'bit', 'desperate', 'to', 'get', 'a', 'place', 'the', 'day', 'before.', 'i', 'found', 'marcelas', 'place', 'which', 'was', 'possible', 'to', 'book', 'via', 'instant-booking.', 'i', 'was', 'a', 'bit', 'worried', 'how', 'things', 'would', 'work,', 'but', 'i', 'got', 'hold', 'of', 'marcela', 'and', 'everything', 'worked', 'out.', 'the', 'place', 'is', 'a', 'typical', 'airbnb', 'place', 'with', 'all', 'necessary', 'and', 'not', 'much', 'extra.', 'it', 'was', 'nice,', 'neat', 'and', 'clean', 'and', 'had', 'ac/heating', 'although', 'it', 'was', 'a', 'bit', 'noisy.', 'the', 'building', 'is', 'in', 'a', 'nice', 'spot', 'with', 'everything', 'really', 'close', 'like', 'convenience', 'store,', 'pharmacy,', 'subway,', 'pubs/restaurants', 'and', 'between', '2', 'metro', 'stations.', 'can', 'recommend', 'this', 'place', 'if', 'you', ""don't"", 'require', 'lot', 'of', 'space', 'and', ""don't"", 'plan', 'to', 'cook', 'a', 'lot', 'yourself', 'and', 'you', 'are', 'mostly', 'out', 'and', 'about.']",124
17,86,50474,402425159,2019-01-18,9128251,Donny,"Great space, amazing building, fanatic locations A+++",en,"['great', 'space,', 'amazing', 'building,', 'fanatic', 'locations', 'a+++']",7
18,89,50474,414378949,2019-02-19,62119162,Arnold,Amazing view! The apartment is compact and yet comfortable. Nice neighborhood.,en,"['amazing', 'view!', 'the', 'apartment', 'is', 'compact', 'and', 'yet', 'comfortable.', 'nice', 'neighborhood.']",11
19,90,52811,138055,2010-11-13,18583,John,"Cristian's a great host, and the apartment was exactly as advertised. GREAT location for anyone wishing to get to know Santiago.",en,"[""cristian's"", 'a', 'great', 'host,', 'and', 'the', 'apartment', 'was', 'exactly', 'as', 'advertised.', 'great', 'location', 'for', 'anyone', 'wishing', 'to', 'get', 'to', 'know', 'santiago.']",21
